readsite,tagsite,distance_km
peloncillo_1_F,silver_city_2_F,142.3456489
silver_city_1_F,silver_city_2_F,6.560224471
silver_city_3_F,silver_city_2_F,7.437131194
fort_huachuca,silver_city_2_F,253.7747528
chiricahua_1_F,silver_city_2_F,141.6177903
chiricahua_2_F,silver_city_2_F,140.9112398
huachuca_5_F,silver_city_2_F,250.3558634
silver_city_4_F,silver_city_2_F,28.85534566
cdmx_1_F,silver_city_2_F,1509.194701
cdmx_3_F,silver_city_2_F,1527.009505
cdmx_2_F,silver_city_2_F,1525.590548
azedon,silver_city_2_F,983.1446118
carmen,silver_city_2_F,807.3728768
chivato,silver_city_2_F,991.1923443
gitana,silver_city_2_F,990.4690706
la_capilla,silver_city_2_F,1031.187044
las_cuevas,silver_city_2_F,1041.285637
pinacate,silver_city_2_F,513.162722
juxtlahuaca,silver_city_2_F,1932.858356
navachiste,silver_city_2_F,818.3041775
atoyac,silver_city_2_F,1498.583781
mariana,silver_city_2_F,436.2320394
organ_pipe_1_h2o,silver_city_2_F,433.5230134
organ_pipe_2_h2o,silver_city_2_F,448.6450182
organ_pipe_satellite,silver_city_2_F,447.202785
organ_pipe_3_h2o,silver_city_2_F,430.9725931
don_panchito,silver_city_2_F,1506.580277
tucson_1_F,peloncillo_1_F,184.1073802
tucson_2_F,peloncillo_1_F,173.9109993
tucson_3_F,peloncillo_1_F,177.5470928
tucson_4_F,peloncillo_1_F,186.2854222
huachuca_1_F,peloncillo_1_F,124.116807
tucson_5_F,peloncillo_1_F,205.3495331
tucson_6_F,peloncillo_1_F,221.7590207
coronado,peloncillo_1_F,129.7766238
huachuca_2_F,peloncillo_1_F,126.3515026
huachuca_3_F,peloncillo_1_F,124.6968755
huachuca_4_F,peloncillo_1_F,145.5817607
organ_pipe,peloncillo_1_F,358.9384536
rincon,peloncillo_1_F,169.9488766
big_hatchet,peloncillo_1_F,54.25933423
silver_city_2_F,peloncillo_1_F,142.3456489
peloncillo_1_F,peloncillo_1_F,0
silver_city_1_F,peloncillo_1_F,137.6332657
silver_city_3_F,peloncillo_1_F,135.6052968
fort_huachuca,peloncillo_1_F,140.4735986
